id,invoice_date,vendor_raw,vendor_normalized,vendor_category,total_cents,tax_cents,net_cents,invoice_number,source_row
281,2024-04-03,Circle K - Bill,circle k bill,OTHER,11141,1413,9728,,282
282,2024-04-04,Walmart - Bill ,walmart bill,WALMART,10735,1131,9604,,283
283,2024-04-04,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,1995,0,1995,,284
284,2024-04-04,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,5013,0,5013,,285
285,2024-04-04,Walmart - Bill ,walmart bill,WALMART,20378,2658,17720,,286
286,2024-04-08,GFS - Bill 9008498481,gfs bill 9008498481,GFS,119253,4018,115235,9008498481,287
287,2024-04-08,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1446,0,1446,,288
288,2024-04-08,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,16862,1702,15160,,289
289,2024-04-10,Costco - Bill ,costco bill,COSTCO,66747,5082,61665,,290
290,2024-04-10,Costco - Bill ,costco bill,COSTCO,2743,358,2385,,291
291,2024-04-11,GFS - Bill 9008642890,gfs bill 9008642890,GFS,95899,592,95307,9008642890,292
292,2024-04-12,Christmas Discounters - Bill ,christmas discounters bill,OTHER,9492,1165,8327,,293
293,2024-04-12,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3515,349,3166,,294
294,2024-04-13,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,15260,1649,13611,,295
295,2024-04-13,Home Hardware - Spring Street - Bill ,home hardware spring street bill,OTHER,2988,390,2598,,296
296,2024-04-14,Shell Gas - Bill ,shell gas bill,OTHER,12349,1611,10738,,297
297,2024-04-19,GFS - Bill 9008934047,gfs bill 9008934047,GFS,28563,592,27971,9008934047,298
298,2024-04-20,Home Hardware - Spring Street - Bill ,home hardware spring street bill,OTHER,6549,854,5695,,299
299,2024-04-20,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2892,0,2892,,300
300,2024-04-21,Canadian Tire - Bill ,canadian tire bill,OTHER,4137,540,3597,,301
301,2024-04-22,Curly's Sports and Supplements - Bill 2576869,curly s sports and supplements bill 2576869,OTHER,48496,6326,42170,2576869,302
302,2024-04-23,Gov't of Nova Scotia - Bill ,gov t of nova scotia bill,GOV_NS,22259,0,22259,,303
303,2024-04-24,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,23121,2189,20932,,304
304,2024-05-03,GFS - Bill 9009517084,gfs bill 9009517084,GFS,38089,0,38089,9009517084,305
305,2024-05-03,GFS - Bill 9009454598,gfs bill 9009454598,GFS,38089,0,38089,9009454598,306
306,2024-05-03,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,6328,124,6204,,307
307,2024-05-03,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,20989,2183,18806,,308
308,2024-05-04,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1990,222,1768,,309
309,2024-05-06,Canadian Tire - Bill ,canadian tire bill,OTHER,2008,262,1746,,310
310,2024-05-07,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,6284,38,6246,,311
311,2024-05-08,Costco - Bill ,costco bill,COSTCO,85830,4893,80937,,312
312,2024-05-08,Capital Foods - Bill 2560110,capital foods bill 2560110,CAPITAL,17995,0,17995,2560110,313
313,2024-05-09,GFS - Bill 9009641376,gfs bill 9009641376,GFS,89103,330,88773,9009641376,314
314,2024-05-13,Bridge Workshop - Bill ,bridge workshop bill,OTHER,1000,0,1000,,315
315,2024-05-16,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,7111,282,6829,,316
316,2024-05-26,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2964,0,2964,,317
317,2025-01-16,BFL Insurance - Bill 2025,bfl insurance bill 2025,INSURANCE,195100,0,195100,,318
318,2024-05-31,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3481,0,3481,,319
319,2024-05-31,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,21352,2384,18968,,320
320,2024-06-06,GFS - Bill 9010616469,gfs bill 9010616469,GFS,5020,655,4365,9010616469,321
321,2024-06-10,Relay for Life - Bill ,relay for life bill,OTHER,11000,0,11000,,322
322,2024-06-27,Sysco - Bill ,sysco bill,SYSCO,15554,0,15554,,323
323,2024-06-30,Town of Amherst - Bill Juen May Rent,town of amherst bill juen may rent,RENT,80500,10500,70000,,324
324,2024-07-01,Town of Amherst - Bill July/August Rent,town of amherst bill july august rent,RENT,80500,10500,70000,,325
325,2024-07-10,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2978,0,2978,,326
326,2024-07-30,GFS - Bill 9012388498,gfs bill 9012388498,GFS,19282,0,19282,9012388498,327
327,2024-07-30,GFS - Bill 9012419964,gfs bill 9012419964,GFS,4383,0,4383,9012419964,328
328,2024-08-02,Sam's Club - Bill ,sam s club bill,OTHER,10069,0,10069,,329
329,2024-08-03,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1401,0,1401,,330
330,2024-08-07,GFS - Bill 9012713784,gfs bill 9012713784,GFS,12312,1606,10706,9012713784,331
331,2024-08-08,Christmas Discounters - Bill ,christmas discounters bill,OTHER,13555,0,13555,,332
332,2024-08-13,Canadian Tire - Bill ,canadian tire bill,OTHER,9538,1244,8294,,333
333,2024-08-18,Costco - Bill ,costco bill,COSTCO,118554,13109,105445,,334
334,2024-08-19,Amazon - Bill ,amazon bill,AMAZON,23789,3103,20686,,335
335,2024-08-19,Amazon - Bill ,amazon bill,AMAZON,10178,1328,8850,,336
336,2024-08-19,Temu - Bill ,temu bill,TEMU,2529,330,2199,,337
337,2024-08-21,Canadian Tire - Bill ,canadian tire bill,OTHER,4053,529,3524,,338
338,2024-08-24,Temu - Bill ,temu bill,TEMU,1493,195,1298,,339
339,2024-08-27,Capital Foods - Bill 2580163,capital foods bill 2580163,CAPITAL,40802,0,40802,2580163,340
340,2024-08-28,Costco - Bill ,costco bill,COSTCO,139042,11021,128021,,341
341,2024-08-28,Shell Gas - Bill ,shell gas bill,OTHER,9474,1236,8238,,342
342,2024-08-30,GFS - Bill 9013501649,gfs bill 9013501649,GFS,45207,0,45207,9013501649,343
343,2024-08-30,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,10591,774,9817,,344
344,2024-08-30,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,3123,345,2778,,345
345,2024-09-01,Town of Amherst - Bill ,town of amherst bill,RENT,88000,11478,76522,,346
346,2024-09-02,Amazon - Bill ,amazon bill,AMAZON,13054,1703,11351,,347
347,2024-09-02,Facebook Marketplace - Bill ,facebook marketplace bill,OTHER,11500,0,11500,,348
348,2024-09-02,Yodeck - Bill ,yodeck bill,OTHER,23621,3081,20540,,349
349,2024-09-03,Curly's Sports and Supplements - Bill 30000969,curly s sports and supplements bill 30000969,OTHER,43056,5616,37440,30000969,350
350,2024-09-03,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,33640,3371,30269,,351
351,2024-09-04,GFS - Bill 9013664381,gfs bill 9013664381,GFS,15879,395,15484,9013664381,352
352,2024-09-05,GFS - Bill 9013663225,gfs bill 9013663225,GFS,40280,609,39671,9013663225,353
353,2024-09-05,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,8294,0,8294,,354
354,2024-09-05,Costco - Bill ,costco bill,COSTCO,92534,7317,85217,,355
355,2024-09-06,Canadian Tire - Bill ,canadian tire bill,OTHER,2240,292,1948,,356
356,2024-09-06,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1442,63,1379,,357
357,2024-09-07,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,3845,45,3800,,358
358,2024-09-08,GFS - Bill 9013824877,gfs bill 9013824877,GFS,13152,0,13152,9013824877,359
359,2024-09-09,Christmas Discounters - Bill ,christmas discounters bill,OTHER,6303,749,5554,,360
360,2024-09-09,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3044,397,2647,,361
361,2024-09-09,Christmas Discounters - Bill ,christmas discounters bill,OTHER,15935,1948,13987,,362
362,2024-09-09,Shell Gas - Bill ,shell gas bill,OTHER,7178,936,6242,,363
363,2024-09-09,GFS - Bill 9013837326,gfs bill 9013837326,GFS,61625,0,61625,9013837326,364
364,2024-09-12,Temu - Bill ,temu bill,TEMU,6416,837,5579,,365
365,2024-09-12,Dollarama - Bill ,dollarama bill,DOLLARAMA,32165,4130,28035,,366
366,2024-09-13,GFS - Bill 9014036877,gfs bill 9014036877,GFS,15764,0,15764,9014036877,367
367,2024-09-14,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2076,0,2076,,368
368,2024-09-14,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,24844,2789,22055,,369
369,2024-09-16,GFS - Bill 9014096231,gfs bill 9014096231,GFS,48132,2597,45535,9014096231,370
370,2024-09-17,Canadian Tire - Bill ,canadian tire bill,OTHER,8622,1125,7497,,371
371,2024-09-17,Walmart - Bill ,walmart bill,WALMART,21122,2755,18367,,372
372,2024-09-18,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3314,0,3314,,373
373,2024-09-18,Costco - Bill ,costco bill,COSTCO,174220,16233,157987,,374
374,2024-09-20,Temu - Bill ,temu bill,TEMU,2310,301,2009,,375
375,2024-09-20,GFS - Bill 9014294880,gfs bill 9014294880,GFS,66365,0,66365,9014294880,376
376,2024-09-20,Dollarama - Bill ,dollarama bill,DOLLARAMA,11270,1470,9800,,377
377,2024-09-20,Canadian Tire - Bill ,canadian tire bill,OTHER,37681,4915,32766,,378
378,2024-09-21,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,33442,3085,30357,,379
379,2024-09-21,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2932,21,2911,,380
380,2024-09-23,Amazon - Bill ,amazon bill,AMAZON,9198,1200,7998,,381
381,2024-09-23,Webstaurant Store - Bill ,webstaurant store bill,OTHER,96858,0,96858,,382
382,2024-09-23,GFS - Bill 9014383591,gfs bill 9014383591,GFS,51940,0,51940,9014383591,383
383,2024-09-24,GFS - Bill 9014406188,gfs bill 9014406188,GFS,9091,1186,7905,9014406188,384
384,2024-09-25,Wholesale Club - Bill ,wholesale club bill,WHOLESALE_CLUB,111445,13454,97991,,385
385,2024-09-25,Circle K - Bill ,circle k bill,OTHER,11332,1478,9854,,386
387,2024-09-25,Costco - Bill ,costco bill,COSTCO,178197,13855,164342,,388
388,2024-09-25,Fedex - Bill Duties,fedex bill duties,OTHER,5633,5633,0,,389
389,2024-09-25,Temu - Bill ,temu bill,TEMU,1159,151,1008,,390
390,2024-09-25,Temu - Bill ,temu bill,TEMU,3033,336,2697,,391
391,2024-09-25,Temu - Bill ,temu bill,TEMU,16935,60,16875,,392
392,2024-09-26,Capital Foods - Bill 2585446,capital foods bill 2585446,CAPITAL,129047,10260,118787,2585446,393
393,2024-09-27,GFS - Bill 9014549646,gfs bill 9014549646,GFS,20020,0,20020,9014549646,394
394,2024-09-28,Dollarama - Bill ,dollarama bill,DOLLARAMA,33907,4423,29484,,395
395,2024-09-29,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,35522,3449,32073,,396
396,2024-09-29,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,6604,0,6604,,397
397,2024-09-30,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,8697,734,7963,,398
398,2024-09-30,GFS - Bill 9014609851,gfs bill 9014609851,GFS,12084,0,12084,9014609851,399
399,2024-09-30,GFS - Bill 9014589017,gfs bill 9014589017,GFS,90312,609,89703,9014589017,400
400,2024-10-01,Town of Amherst - Bill ,town of amherst bill,RENT,88000,11478,76522,,401
401,2024-10-01,IFoodEquipment - Bill ,ifoodequipment bill,OTHER,11897,1552,10345,,402
402,2024-10-03,GFS - Bill 9014783184,gfs bill 9014783184,GFS,28305,1254,27051,9014783184,403
403,2024-10-03,GFS - Bill 9014750800,gfs bill 9014750800,GFS,57063,0,57063,9014750800,404
404,2024-10-03,Temu - Bill ,temu bill,TEMU,4286,559,3727,,405
405,2024-10-04,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,27541,2121,25420,,406
406,2024-10-05,Wholesale Club - Bill ,wholesale club bill,WHOLESALE_CLUB,93233,10127,83106,,407
407,2024-10-05,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,1576,0,1576,,408
408,2024-10-05,Costco - Bill ,costco bill,COSTCO,208323,13843,194480,,409
409,2024-10-05,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,4550,0,4550,,410
410,2024-10-06,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,15289,1994,13295,,411
411,2024-10-07,Shell Gas - Bill ,shell gas bill,OTHER,11851,1546,10305,,412
412,2024-10-09,GFS - Bill 9014962246,gfs bill 9014962246,GFS,78939,0,78939,9014962246,413
413,2024-10-10,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,4955,0,4955,,414
414,2024-10-11,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,7313,0,7313,,415
415,2024-10-11,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,13041,689,12352,,416
416,2024-10-11,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,53107,6223,46884,,417
417,2024-10-11,Curly's Sports and Supplements - Bill 3110269,curly s sports and supplements bill 3110269,OTHER,146280,19080,127200,3110269,418
418,2024-10-11,GFS - Bill 9015055269,gfs bill 9015055269,GFS,46951,0,46951,9015055269,419
419,2024-10-13,Canadian Tire - Bill ,canadian tire bill,OTHER,5689,742,4947,,420
420,2024-10-14,GFS - Bill 9015111433,gfs bill 9015111433,GFS,96158,1563,94595,9015111433,421
421,2024-10-14,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3433,0,3433,,422
422,2024-10-15,Sobeys - Bill ,sobeys bill,OTHER,3274,427,2847,,423
423,2024-10-16,GFS - Bill 9015204709,gfs bill 9015204709,GFS,38552,0,38552,9015204709,424
424,2024-10-16,Capital Foods - Bill 2588702,capital foods bill 2588702,CAPITAL,33604,0,33604,2588702,425
425,2024-10-16,Costco - Bill ,costco bill,COSTCO,50456,6581,43875,,426
426,2024-10-16,Costco - Bill ,costco bill,COSTCO,186909,18342,168567,,427
427,2024-10-18,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,29471,2744,26727,,428
428,2024-10-18,Circle K - Bill ,circle k bill,OTHER,20000,2609,17391,,429
429,2024-10-18,GFS - Bill 9015302439,gfs bill 9015302439,GFS,60957,0,60957,9015302439,430
430,2024-10-18,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,5924,0,5924,,431
431,2024-10-19,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1943,253,1690,,432
432,2024-10-20,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,32288,3119,29169,,433
433,2024-10-22,Temu - Bill ,temu bill,TEMU,4286,559,3727,,434
434,2024-10-22,Amazon - Bill ,amazon bill,AMAZON,12649,1650,10999,,435
435,2024-10-22,Amazon - Bill ,amazon bill,AMAZON,27478,3585,23893,,436
436,2024-10-23,Costco - Bill ,costco bill,COSTCO,147283,18820,128463,,437
437,2024-10-23,Costco - Bill ,costco bill,COSTCO,132347,6102,126245,,438
438,2024-10-24,GFS - Bill 9015480379,gfs bill 9015480379,GFS,127554,0,127554,9015480379,439
439,2024-10-24,Walmart - Bill ,walmart bill,WALMART,1148,150,998,,440
440,2024-10-24,Amazon - Bill ,amazon bill,AMAZON,10590,1382,9208,,441
441,2024-10-24,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,7830,360,7470,,442
442,2024-10-24,Curly's Sports and Supplements - Bill ,curly s sports and supplements bill,OTHER,48959,6386,42573,,443
443,2024-10-24,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,7338,220,7118,,444
444,2024-10-25,Canadian Tire - Bill ,canadian tire bill,OTHER,9302,1213,8089,,445
445,2024-10-25,Canadian Tire - Bill ,canadian tire bill,OTHER,22032,2874,19158,,446
446,2024-10-25,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2200,212,1988,,447
447,2024-10-25,GFS - Bill 9015554603,gfs bill 9015554603,GFS,69073,0,69073,9015554603,448
448,2024-10-26,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,6419,220,6199,,449
449,2024-10-28,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,8318,634,7684,,450
450,2024-10-28,Curly's Sports and Supplements - Bill ,curly s sports and supplements bill,OTHER,54393,7095,47298,,451
451,2024-10-28,Costco - Bill ,costco bill,COSTCO,47932,2519,45413,,452
452,2024-10-30,Christmas Discounters - Bill ,christmas discounters bill,OTHER,5657,738,4919,,453
453,2024-10-30,Shell Gas - Bill ,shell gas bill,OTHER,12338,1609,10729,,454
454,2024-10-30,Costco - Bill ,costco bill,COSTCO,167289,11063,156226,,455
455,2024-11-01,Town of Amherst - Bill ,town of amherst bill,RENT,88000,11478,76522,,456
456,2024-11-01,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,3223,45,3178,,457
457,2024-11-01,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,4625,210,4415,,458
458,2024-11-01,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,62763,6447,56316,,459
459,2024-11-01,GFS - Bill 9015806844,gfs bill 9015806844,GFS,6911,0,6911,9015806844,460
460,2024-11-01,GFS - Bill 9015806407,gfs bill 9015806407,GFS,85783,1443,84340,9015806407,461
461,2024-11-02,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1198,0,1198,,462
463,2024-11-07,Capital Foods - Bill 2592351,capital foods bill 2592351,CAPITAL,191217,9840,181377,2592351,464
464,2024-11-07,Christmas Discounters - Bill ,christmas discounters bill,OTHER,6203,809,5394,,465
465,2024-11-07,GFS - Bill 9015983805,gfs bill 9015983805,GFS,137572,1459,136113,9015983805,466
466,2024-11-08,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,57059,6238,50821,,467
467,2024-11-09,Running Man Grocery - Bill ,running man grocery bill,OTHER,3399,0,3399,,468
468,2024-11-09,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,10112,0,10112,,469
469,2024-11-09,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,27908,113,27795,,470
470,2024-11-10,Canadian Tire - Bill ,canadian tire bill,OTHER,10626,1386,9240,,471
471,2024-11-11,GFS - Bill 9016122014,gfs bill 9016122014,GFS,6397,0,6397,9016122014,472
472,2024-11-11,GFS - Bill 9016098857,gfs bill 9016098857,GFS,79374,1891,77483,9016098857,473
473,2024-11-12,Shopify - Bill ,shopify bill,OTHER,55087,7187,47900,,474
474,2024-11-12,Pepsico - Bill 79054353,pepsico bill 79054353,PEPSI,76633,9276,67357,79054353,475
475,2024-11-13,Capital Foods - Bill 2593157,capital foods bill 2593157,CAPITAL,37978,2879,35099,2593157,476
476,2024-11-13,Irving - Bill ,irving bill,OTHER,10498,1369,9129,,477
477,2024-11-13,Costco - Bill ,costco bill,COSTCO,178776,11041,167735,,478
478,2024-11-13,Wholesale Club - Bill ,wholesale club bill,WHOLESALE_CLUB,109096,11680,97416,,479
479,2024-11-14,GFS - Bill 9016230977,gfs bill 9016230977,GFS,92656,285,92371,9016230977,480
480,2024-11-15,Freightcom - Bill ,freightcom bill,OTHER,8984,0,8984,,481
481,2024-11-16,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,11773,0,11773,,482
482,2024-11-18,Costco - Bill ,costco bill,COSTCO,25176,3284,21892,,483
483,2024-11-21,UPS - Bill ,ups bill,OTHER,6288,6288,0,,484
484,2024-11-21,GFS - Bill 9016490855,gfs bill 9016490855,GFS,99331,285,99046,9016490855,485
485,2024-11-22,GFS - Bill 9016564992,gfs bill 9016564992,GFS,20020,0,20020,9016564992,486
486,2024-11-22,Costco - Bill ,costco bill,COSTCO,65474,3715,61759,,487
487,2024-11-22,Walmart - Bill ,walmart bill,WALMART,1262,165,1097,,488
488,2024-11-22,Costco - Bill ,costco bill,COSTCO,2466,322,2144,,489
489,2024-11-22,Esso - Bill ,esso bill,OTHER,3002,392,2610,,490
490,2024-11-23,Walmart - Bill ,walmart bill,WALMART,17886,1500,16386,,491
491,2024-11-23,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1678,0,1678,,492
492,2024-11-24,Walmart - Bill ,walmart bill,WALMART,21846,2144,19702,,493
493,2024-11-24,Dollarama - Bill ,dollarama bill,DOLLARAMA,34485,4451,30034,,494
494,2024-11-24,Sobeys - Bill ,sobeys bill,OTHER,2476,0,2476,,495
495,2024-11-24,Costco - Bill ,costco bill,COSTCO,11695,1379,10316,,496
496,2024-11-26,Irving - Bill ,irving bill,OTHER,6498,848,5650,,497
497,2024-11-28,GFS - Bill 9016753711,gfs bill 9016753711,GFS,127504,3227,124277,9016753711,498
498,2024-11-29,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,4968,67,4901,,499
499,2024-11-29,Costco - Bill ,costco bill,COSTCO,36859,1199,35660,,500
500,2024-11-29,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,25812,1349,24463,,501
501,2024-12-01,Town of Amherst - Bill ,town of amherst bill,RENT,88000,11478,76522,,502
502,2024-12-01,Amazon - Bill ,amazon bill,AMAZON,4074,531,3543,,503
503,2024-12-01,Temu - Bill ,temu bill,TEMU,4296,560,3736,,504
504,2024-12-01,Temu - Bill ,temu bill,TEMU,3889,507,3382,,505
505,2024-12-01,Temu - Bill ,temu bill,TEMU,8011,1045,6966,,506
506,2024-12-02,Curly's Sports and Supplements - Bill ,curly s sports and supplements bill,OTHER,13150,1715,11435,,507
507,2024-12-03,Curly's Sports and Supplements - Bill ,curly s sports and supplements bill,OTHER,65205,8505,56700,,508
508,2024-12-04,Esso - Bill ,esso bill,OTHER,6000,783,5217,,509
509,2024-12-04,Sysco - Bill ,sysco bill,SYSCO,8065,0,8065,,510
510,2024-12-04,Capital Foods - Bill 2596503,capital foods bill 2596503,CAPITAL,14873,1312,13561,2596503,511
511,2024-12-04,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,28348,2279,26069,,512
512,2024-12-04,Costco - Bill ,costco bill,COSTCO,81221,5205,76016,,513
513,2024-12-04,Mobil Gas - Bill ,mobil gas bill,OTHER,12034,1570,10464,,514
514,2024-12-05,Lil' Ems - Bill ,lil ems bill,OTHER,9200,600,8600,,515
515,2024-12-05,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,7579,0,7579,,516
516,2024-12-05,Walmart - Bill ,walmart bill,WALMART,1608,210,1398,,517
517,2024-12-05,GFS - Bill 9016950083,gfs bill 9016950083,GFS,155471,1867,153604,9016950083,518
518,2024-12-06,GFS - Bill 9017022468,gfs bill 9017022468,GFS,53092,1613,51479,9017022468,519
519,2024-12-07,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,27981,2680,25301,,520
521,2024-12-09,GFS - Bill 9017091772,gfs bill 9017091772,GFS,21962,1053,20909,9017091772,522
522,2024-12-09,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3144,0,3144,,523
523,2024-12-11,Circle K - Bill ,circle k bill,OTHER,13287,1733,11554,,524
524,2024-12-11,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,68884,7153,61731,,525
525,2024-12-12,Curly's Sports and Supplements - Bill ,curly s sports and supplements bill,OTHER,18285,2385,15900,,526
526,2024-12-12,Esso - Bill ,esso bill,OTHER,6209,810,5399,,527
527,2024-12-12,C.E. Harrison Home Hardware - Bill ,c e harrison home hardware bill,OTHER,3051,398,2653,,528
528,2024-12-12,C.E. Harrison Home Hardware - Bill ,c e harrison home hardware bill,OTHER,4365,569,3796,,529
529,2024-12-13,GFS - Bill 9017258411,gfs bill 9017258411,GFS,94431,609,93822,9017258411,530
530,2024-12-13,Shell Gas - Bill ,shell gas bill,OTHER,7748,1011,6737,,531
531,2024-12-13,Stacked - Bill ,stacked bill,OTHER,2124,277,1847,,532
532,2024-12-13,Costco - Bill ,costco bill,COSTCO,215203,16064,199139,,533
533,2024-12-14,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,8335,196,8139,,534
534,2024-12-16,Esso - Bill ,esso bill,OTHER,6000,783,5217,,535
535,2024-12-17,Canadian Tire - Bill ,canadian tire bill,OTHER,1724,225,1499,,536
536,2024-12-17,Costco - Bill ,costco bill,COSTCO,33091,0,33091,,537
537,2024-12-17,FloHockey - Bill ,flohockey bill,OTHER,23446,3058,20388,,538
538,2024-12-19,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,40000,0,40000,,539
539,2024-12-19,Capital Foods - Bill 2599082,capital foods bill 2599082,CAPITAL,162525,2329,160196,2599082,540
540,2024-12-20,GFS - Bill 9017524422,gfs bill 9017524422,GFS,46643,1906,44737,9017524422,541
541,2024-12-31,Shopify - Bill 2024 CC Fees,shopify bill 2024 cc fees,OTHER,220804,0,220804,2024,542
542,2024-12-31,CIBC - Bill q234 fees,cibc bill q234 fees,BANK_FEE,58500,0,58500,,543
543,2024-12-31,Shopify - Bill ,shopify bill,OTHER,41283,5385,35898,,544
545,2024-12-31,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,6395,0,6395,,546
546,2024-12-31,GFS - Bill 9017785533,gfs bill 9017785533,GFS,36319,3497,32822,9017785533,547
547,2025-01-01,Town of Amherst - Bill January Rent,town of amherst bill january rent,RENT,88000,11478,76522,,548
548,2025-01-03,GFS - Bill 9017847614,gfs bill 9017847614,GFS,92546,609,91937,9017847614,549
549,2025-01-03,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,5586,0,5586,,550
550,2025-01-04,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,69166,360,68806,,551
551,2025-01-04,Walmart - Bill ,walmart bill,WALMART,4816,628,4188,,552
552,2025-01-04,Walmart - Bill ,walmart bill,WALMART,7684,62,7622,,553
553,2025-01-04,Canadian Tire - Bill ,canadian tire bill,OTHER,10840,1414,9426,,554
554,2025-01-06,Circle K - Bill ,circle k bill,OTHER,4944,645,4299,,555
555,2025-01-07,Curly's Sports and Supplements - Bill ,curly s sports and supplements bill,OTHER,7152,0,7152,,556
556,2025-01-09,Sysco - Bill ,sysco bill,SYSCO,15998,0,15998,,557
557,2025-01-09,Shell Gas - Bill ,shell gas bill,OTHER,12939,1515,11424,,558
558,2025-01-09,Costco - Bill ,costco bill,COSTCO,241547,3838,237709,,559
559,2025-01-09,Wholesale Club - Bill ,wholesale club bill,WHOLESALE_CLUB,64289,720,63569,,560
560,2025-01-09,Capital Foods - Bill 2601740,capital foods bill 2601740,CAPITAL,18080,0,18080,2601740,561
561,2025-01-09,Capital Foods - Bill 2601713,capital foods bill 2601713,CAPITAL,64871,3247,61624,2601713,562
562,2025-01-10,GFS - Bill 9018093147,gfs bill 9018093147,GFS,114776,0,114776,9018093147,563
563,2025-01-10,GFS - Bill 9018118048,gfs bill 9018118048,GFS,44544,0,44544,9018118048,564
564,2025-01-11,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,9008,0,9008,,565
565,2025-01-11,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3600,0,3600,,566
566,2025-01-11,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,12929,0,12929,,567
567,2025-01-12,Dollarama - Bill ,dollarama bill,DOLLARAMA,40710,8,40702,,568
568,2025-01-12,Atlantic Superstore - Bill ,atlantic superstore bill,OTHER,33747,113,33634,,569
569,2025-01-12,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,1440,0,1440,,570
570,2025-01-13,Walmart - Bill ,walmart bill,WALMART,2921,381,2540,,571
571,2025-01-14,Shopify - Bill ,shopify bill,OTHER,5107,666,4441,,572
572,2025-01-16,GFS - Bill 9018308927,gfs bill 9018308927,GFS,57056,0,57056,9018308927,573
573,2025-01-17,GFS - Bill 9018338730,gfs bill 9018338730,GFS,58861,2682,56179,9018338730,574
